,Question,Answer.Value,Answer.GPT3
4814,Torres Strait Islander Eddie Mabo became famous in Australian history for his role in campaigning for what?,Land rights,Torres Strait Islander Eddie Mabo became famous in Australian history for his role in campaigning for Indigenous land rights.
2806,The addition of what item turns a Martini into a Gibson ?,(Pearl) ONION accept GARLIC,A pickled onion
6539,What was invented in 1907 by Murray Spangler?,Vacuum cleaner,The first electronic vacuum cleaner was invented in 1907 by Murray Spangler.
9278,"What is pickled raw, and served with dill and mustard sauce, in the Scandinavian dish, Gravlax?",SALMON,Raw salmon
7798,What is the name of the ship featured in the 1957 film The Yangtse Incident?,HMS AMETHYST,The ship featured in the 1957 film The Yangtse Incident is the HMS Amethyst.
2200,Which Italian demonstrated the first modern electric battery?,Alessandro Volta,Alessandro Volta
5553,What country has slums known as favelas?,Brazil,Brazil
1496,Which politician was born Goldie Mabovich?,Golda Meir,"Goldie Mabovich was born on October 28, 1892, in Chicago, Illinois. She was a member of the Illinois House of Representatives from 1923 to 1927."
9795,What was the name of the racehorse owned by the Queen Mother and ridden by Dick Francis that collapsed whilst leading the 1956 Grand National with just 45 metres to the winning post?,DEVON LOCH,The racehorse was called Devon Loch.
949,The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,Vanity Fair,William Dobbin and Rawdon Crawley appear in the novel Vanity Fair by William Makepeace Thackeray.
5676,Anemia can be caused by a deficiency of what dietary mineral?,Iron,Iron
775,What is the connection between Answers 1 - 9?,New York,Each answer refers to a different type of animal.
9180,"In the 'Disc World' novels, what is the name of the horse ridden by 'Death'?",'BINKY',Binky
10069,Which is the biggest of the London merchant banks,Morgan Grenfell,The largest London merchant bank is Barclays.
8529,The Dude would know that stroking and cranking are the two main types of delivery in what sport?,Bowling,Baseball
1681,Ereuthophobia is the irrational fear of which colour?,Red,The irrational fear of the colour red is known as ereuthophobia.
190,Vehicles from which country use the international registration letter E?,Spain,Spain
6955,Which island off Cape Cod was once the site of the world's biggest whaling port?,NANTUCKET,Nantucket
8436,"When it was liberated from the UK in 1957, which country became the first sub-Saharan nation to gain independence?",Ghana,Ghana
10920,"Opened in May 11, 2010, Charlotte, NC is the home to the Hall of Fame for what popular outdoor sport, the second most watched sport (on TV) in the US?",NASCAR,"The NASCAR Hall of Fame is located in Charlotte, NC."
1804,What were the first names of US television cartoonists Hanna and Barbera?,William and Joseph,William Hanna and Joseph Barbera
132,Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis,Melanie Molitor is the mom of tennis world NO 1 Novak Djokovic.
1802,"In the Jewish calendar, Sivan is which month of the religious year?",Third,Sivan is the third month of the religious year.
